Human_Ensembl1,Human_Ensembl2,pdbid,is_true_contact,interface_area,direct_contact_prob,pearson_correlation_coefficient,unique_values1,unique_values2
ENSG00000085840,ENSG00000164815,5ujm,1,436.3,0,0.046044147,285,285
ENSG00000085840,ENSG00000115947,5ujm,1,2704.9,0,0.01519236,"SUM(IF(FREQUENCY(MATCH(A3:A3160,A3:A3160,0),MATCH(A3:A3160,A3:A3160,0))>0,1))",
ENSG00000085840,ENSG00000135336,5ujm,0,None,0,0.01002011,29,29
ENSG00000115942,ENSG00000164815,5ujm,1,285.4,0.5,0.75374355,,
ENSG00000115942,ENSG00000135336,5ujm,1,1622.5,0.25,0.807046079,,
ENSG00000115942,ENSG00000085840,5ujm,0,None,0,0.041730372,,
ENSG00000115942,ENSG00000115947,5ujm,0,None,0,-0.025180426,,
ENSG00000135336,ENSG00000115947,5ujm,1,96,0,-0.017582147,,
ENSG00000164815,ENSG00000135336,5ujm,1,1066.7,0.4,0.829349245,,
ENSG00000164815,ENSG00000115947,5ujm,1,2511.9,0,-0.027095812,,
ENSG00000021776,ENSG00000076924,5mqf,0,None,0.05,0.850941795,,
ENSG00000021776,ENSG00000110107,5mqf,0,None,0,0.13696047,,
ENSG00000021776,ENSG00000141543,5mqf,0,None,0,-0.022395887,,
ENSG00000021776,ENSG00000084072,5mqf,0,None,0,0.452481389,,
ENSG00000021776,ENSG00000101343,5mqf,0,None,0,-0.012861422,,
ENSG00000021776,ENSG00000167978,5mqf,0,None,0,0.014742851,,
ENSG00000021776,ENSG00000096401,5mqf,0,None,0,0.136306814,,
ENSG00000021776,ENSG00000137168,5mqf,0,None,0,-0.006586934,,
ENSG00000021776,ENSG00000100028,5mqf,0,None,0,0.07591201,,
ENSG00000021776,ENSG00000168438,5mqf,0,None,0,0.007453739,,
ENSG00000021776,ENSG00000167088,5mqf,0,None,0,0.122249001,,
ENSG00000021776,ENSG00000174231,5mqf,0,None,0,-0.007016288,,
ENSG00000021776,ENSG00000100603,5mqf,0,None,0,-0.003106965,,
ENSG00000021776,ENSG00000125743,5mqf,0,None,0,0.080277641,,
ENSG00000021776,ENSG00000163510,5mqf,0,None,0,0.070320719,,
ENSG00000021776,ENSG00000116752,5mqf,0,None,0,0.117799551,,
ENSG00000021776,ENSG00000182004,5mqf,0,None,0,0.010563036,,
ENSG00000021776,ENSG00000131876,5mqf,0,None,0,0.276578356,,
ENSG00000021776,ENSG00000086589,5mqf,0,None,0,0.002320784,,
ENSG00000060688,ENSG00000117614,5mqf,0,None,0,-0.029628391,,
ENSG00000060688,ENSG00000125835,5mqf,0,None,0,0,,
ENSG00000060688,ENSG00000125870,5mqf,0,None,0,0.023231841,,
ENSG00000060688,ENSG00000108883,5mqf,0,None,0,0.594003286,,
ENSG00000060688,ENSG00000143977,5mqf,0,None,0,0.004684492,,
ENSG00000060688,ENSG00000067596,5mqf,0,None,0,0.054768969,,
ENSG00000060688,ENSG00000139343,5mqf,0,None,0,-0.002379504,,
ENSG00000060688,ENSG00000171566,5mqf,0,None,0,-0.009836463,,
ENSG00000060688,ENSG00000021776,5mqf,0,None,0,-0.006418651,,
ENSG00000060688,ENSG00000110107,5mqf,0,None,0,-0.032285888,,
ENSG00000060688,ENSG00000076924,5mqf,0,None,0,-0.009870455,,
ENSG00000060688,ENSG00000141543,5mqf,0,None,0,-0.017135392,,
ENSG00000060688,ENSG00000084072,5mqf,0,None,0,-0.010925615,,
ENSG00000060688,ENSG00000101343,5mqf,0,None,0,0.102272599,,
ENSG00000060688,ENSG00000167978,5mqf,0,None,0,-0.033216413,,
ENSG00000060688,ENSG00000096401,5mqf,0,None,0,-0.003607501,,
ENSG00000060688,ENSG00000137168,5mqf,0,None,0,-0.011606729,,
ENSG00000060688,ENSG00000100028,5mqf,0,None,0,0.259045088,,
ENSG00000060688,ENSG00000168438,5mqf,0,None,0,0.001806433,,
ENSG00000060688,ENSG00000167088,5mqf,0,None,0,0.193358564,,
ENSG00000060688,ENSG00000174231,5mqf,0,None,0,0.593745178,,
ENSG00000060688,ENSG00000100603,5mqf,0,None,0,0.005197697,,
ENSG00000060688,ENSG00000125743,5mqf,0,None,0,0.26002582,,
ENSG00000060688,ENSG00000163510,5mqf,0,None,0,-0.003776995,,
ENSG00000060688,ENSG00000116752,5mqf,0,None,0,-0.013142009,,
ENSG00000060688,ENSG00000182004,5mqf,0,None,0,0.244875047,,
ENSG00000060688,ENSG00000131876,5mqf,0,None,0,-0.002825327,,
ENSG00000060688,ENSG00000086589,5mqf,0,None,0,-0.025438787,,
ENSG00000067596,ENSG00000139343,5mqf,0,None,0,-0.057033004,,
ENSG00000067596,ENSG00000171566,5mqf,0,None,0,-0.007359539,,
ENSG00000067596,ENSG00000021776,5mqf,0,None,0,-0.06928228,,
ENSG00000067596,ENSG00000110107,5mqf,0,None,0,-0.033119346,,
ENSG00000067596,ENSG00000076924,5mqf,0,None,0,0.038292942,,
ENSG00000067596,ENSG00000141543,5mqf,0,None,0,0.040519722,,
ENSG00000067596,ENSG00000084072,5mqf,0,None,0,-0.003336116,,
ENSG00000067596,ENSG00000101343,5mqf,0,None,0,0.471386144,,
ENSG00000067596,ENSG00000167978,5mqf,0,None,0,0.013748816,,
